Alert Type,Entity,Category,Sales,Profit,Profit Margin,Reason
High Sales Low Profit,Cisco TelePresence System EX90 Videoconferencing Unit,Technology,22638.48,-1811.078400000002,-0.08000000000000008,Product has high sales but weak profit margin
High Sales Low Profit,HON 5400 Series Task Chairs for Big and Tall,Furniture,21870.576,3.979039320256561e-13,1.8193573503763965e-17,Product has high sales but weak profit margin
High Sales Low Profit,GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,19024.5,760.9799999999998,0.03999999999999999,Product has high sales but weak profit margin
High Sales Low Profit,GBC DocuBind P400 Electric Binding System,Office Supplies,17965.068,-1878.166200000003,-0.10454545454545472,Product has high sales but weak profit margin
High Sales Low Profit,High Speed Automatic Electric Letter Opener,Office Supplies,17030.311999999998,-262.00480000000084,-0.015384615384615436,Product has high sales but weak profit margin
High Sales Low Profit,Lexmark MX611dhe Monochrome Laser Printer,Technology,16829.900999999998,-4589.973000000004,-0.272727272727273,Product has high sales but weak profit margin
High Sales Low Profit,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,16656.199999999997,-1299.1835999999998,-0.078,Product has high sales but weak profit margin
High Sales Low Profit,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,15610.965600000001,-669.5448000000002,-0.04288939051918737,Product has high sales but weak profit margin
High Sales Low Profit,Bretford Rectangular Conference Table Tops,Furniture,12995.2915,-327.2330999999991,-0.02518089725036173,Product has high sales but weak profit margin
High Sales Low Profit,Cubify CubeX 3D Printer Double Head Print,Technology,11099.963,-8879.970400000002,-0.8000000000000002,Product has high sales but weak profit margin
Loss Making Product,Cubify CubeX 3D Printer Double Head Print,Technology,11099.963,-8879.970400000002,-0.8000000000000002,Product generated negative profit
Loss Making Product,Lexmark MX611dhe Monochrome Laser Printer,Technology,16829.900999999998,-4589.973000000004,-0.272727272727273,Product generated negative profit
Loss Making Product,Cubify CubeX 3D Printer Triple Head Print,Technology,7999.98,-3839.990399999999,-0.4799999999999999,Product generated negative profit
Loss Making Product,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,9917.640000000001,-2876.1156000000005,-0.29000000000000004,Product generated negative profit
Loss Making Product,Bush Advantage Collection Racetrack Conference Table,Furniture,9544.725,-1934.3976,-0.20266666666666666,Product generated negative profit
