Product Name,Category,Sub-Category,total_sales,total_profit,total_quantity,avg_discount,total_orders,profit_margin
Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Office Supplies,Appliances,1.6239999999999994,-4.466,2,0.8,1,-2.750000000000001
GBC Plasticlear Binding Covers,Office Supplies,Binders,68.88000000000001,-68.42080000000001,23,0.7285714285714285,7,-0.9933333333333334
GBC VeloBinder Electric Binding Machine,Office Supplies,Binders,496.018,-411.3319999999999,15,0.725,4,-0.8292682926829267
Okidata B401 Printer,Technology,Machines,179.99100000000004,-251.98739999999992,3,0.7,1,-1.3999999999999992
Lexmark MarkNet N8150 Wireless Print Server,Technology,Machines,723.51,-506.4569999999997,6,0.7,2,-0.6999999999999996
"Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner",Technology,Machines,341.99100000000004,-319.1916,3,0.7,1,-0.9333333333333332
Cisco 8961 IP Phone Charcoal,Technology,Machines,224.93700000000004,-164.9538,3,0.7,1,-0.7333333333333332
Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner,Technology,Machines,101.994,-71.39579999999998,2,0.7,1,-0.6999999999999998
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Furniture,Bookcases,90.882,-190.85220000000004,3,0.7,1,-2.1000000000000005
Epson Perfection V600 Photo Scanner,Technology,Machines,206.99100000000004,-172.4925,3,0.7,1,-0.8333333333333331
Zebra GK420t Direct Thermal/Thermal Transfer Printer,Technology,Machines,703.71,-938.28,6,0.7,1,-1.3333333333333333
Plantronics Single Ear Headset,Technology,Machines,29.925,-21.944999999999997,5,0.7,1,-0.7333333333333332
"Premier Elliptical Ring Binder, Black",Office Supplies,Binders,526.6120000000001,-201.51280000000003,46,0.6444444444444444,9,-0.38265895953757223
Wilson Jones Custom Binder Spines & Labels,Office Supplies,Binders,41.34400000000001,-19.6928,22,0.6285714285714284,7,-0.4763157894736841
Acco D-Ring Binder w/DublLock,Office Supplies,Binders,235.17999999999998,-102.8378,31,0.6222222222222222,9,-0.4372727272727273
Avery Durable Slant Ring Binders,Office Supplies,Binders,51.480000000000004,-23.759999999999994,19,0.6199999999999999,5,-0.4615384615384614
"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",Office Supplies,Binders,25.830000000000002,-4.92,25,0.6166666666666667,6,-0.19047619047619047
Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Binders,31.587999999999997,-7.032800000000002,24,0.6142857142857142,7,-0.22264150943396233
Insertable Tab Indexes For Data Binders,Office Supplies,Binders,17.490000000000002,-4.833600000000003,13,0.6,5,-0.27636363636363653
Euro Pro Shark Stick Mini Vacuum,Office Supplies,Appliances,170.74399999999997,-325.6332,11,0.6,3,-1.9071428571428575
Eldon Executive Woodline II Cherry Finish Desk Accessories,Furniture,Furnishings,98.13600000000001,-78.5088,6,0.6,2,-0.7999999999999998
Acco Economy Flexible Poly Round Ring Binder,Office Supplies,Binders,11.484,-5.741999999999999,6,0.6,4,-0.49999999999999994
Avery Reinforcements for Hole-Punch Pages,Office Supplies,Binders,28.512,-16.137,41,0.575,8,-0.5659722222222222
Insertable Tab Post Binder Dividers,Office Supplies,Binders,66.566,-39.69900000000002,25,0.575,8,-0.596385542168675
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,63.627,-13.906500000000007,37,0.5625,8,-0.2185628742514971
GBC VeloBinder Strips,Office Supplies,Binders,52.992,-23.807999999999993,20,0.55,4,-0.44927536231884047
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Office Supplies,Binders,62.946,-0.1613999999999951,23,0.55,4,-0.0025641025641024865
Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,Technology,Machines,1212.7050000000002,-1057.23,10,0.55,2,-0.8717948717948717
GBC Linen Binding Covers,Office Supplies,Binders,207.56600000000003,-82.40680000000003,18,0.5499999999999999,6,-0.39701492537313443
Accohide Poly Flexible Ring Binders,Office Supplies,Binders,43.75800000000001,-19.821999999999996,34,0.5375,8,-0.45299145299145277
Acco Suede Grain Vinyl Round Ring Binder,Office Supplies,Binders,38.641999999999996,-4.8927999999999985,29,0.5375,8,-0.1266187050359712
Avery Self-Adhesive Photo Pockets for Polaroid Photos,Office Supplies,Binders,143.01000000000002,-2.179200000000007,41,0.5363636363636363,11,-0.015238095238095285
Angle-D Ring Binders,Office Supplies,Binders,39.384,-1.9692000000000043,14,0.5333333333333333,6,-0.05000000000000011
Swingline SM12-08 MicroCut Jam Free Shredder,Technology,Machines,2359.9410000000003,-447.9888,13,0.5333333333333333,3,-0.18983050847457625
Avery Durable Poly Binders,Office Supplies,Binders,82.95,-15.5946,33,0.5333333333333333,6,-0.188
Cubify CubeX 3D Printer Double Head Print,Technology,Machines,11099.963,-8879.970400000002,9,0.5333333333333333,3,-0.8000000000000002
"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",Office Supplies,Binders,54.474000000000004,-3.8909999999999982,9,0.5333333333333333,3,-0.0714285714285714
Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,197.169,-69.57020000000001,32,0.5285714285714286,7,-0.3528455284552846
3.6 Cubic Foot Counter Height Office Refrigerator,Office Supplies,Appliances,2946.2,-872.0751999999999,18,0.52,5,-0.296
"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",Office Supplies,Binders,834.6,-82.17600000000004,42,0.5125,8,-0.09846153846153852
Catalog Binders with Expanding Posts,Office Supplies,Binders,1089.9360000000001,-242.20800000000008,36,0.5125,8,-0.22222222222222227
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Furniture,Bookcases,400.0268,-113.26060000000003,3,0.51,2,-0.283132530120482
XtraLife ClearVue Slant-D Ring Binders by Cardinal,Office Supplies,Binders,72.91199999999999,-13.327999999999996,22,0.5,5,-0.18279569892473116
"Wilson Jones 1"" Hanging DublLock Ring Binders",Office Supplies,Binders,117.74400000000001,-8.553599999999996,46,0.5,10,-0.07264573991031385
UniKeep View Case Binders,Office Supplies,Binders,28.850999999999996,-5.476800000000004,13,0.5,5,-0.18983050847457644
GBC Standard Plastic Binding Systems Combs,Office Supplies,Binders,55.754999999999995,-2.9204999999999988,13,0.5,5,-0.05238095238095236
Hoover Commercial Lightweight Upright Vacuum,Office Supplies,Appliances,18.096,-2.505600000000002,8,0.5,2,-0.13846153846153858
GBC ProClick 150 Presentation Binding System,Office Supplies,Binders,3222.996,-461.3307999999999,22,0.5,5,-0.14313725490196075
GBC Wire Binding Strips,Office Supplies,Binders,212.65800000000002,-18.409199999999977,14,0.5,5,-0.08656716417910436
Penpower WorldCard Pro Card Scanner,Technology,Machines,91.475,-1.829499999999996,1,0.5,1,-0.019999999999999955
Cisco CP-7937G Unified IP Conference Station Phone,Technology,Machines,1391.4,-55.65599999999994,4,0.5,2,-0.03999999999999995
Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,22638.48,-1811.078400000002,6,0.5,1,-0.08000000000000008
Computer Printout Index Tabs,Office Supplies,Binders,11.088,-2.016000000000003,15,0.5,4,-0.1818181818181821
Cubify CubeX 3D Printer Triple Head Print,Technology,Machines,7999.98,-3839.990399999999,4,0.5,1,-0.4799999999999999
Cardinal Hold-It CD Pocket,Office Supplies,Binders,38.304,-12.4488,12,0.5,4,-0.325
"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Office Supplies,Binders,258.72,-27.165600000000026,51,0.4916666666666667,12,-0.1050000000000001
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,Tables,1706.25,-1148.4375,15,0.48333333333333334,3,-0.6730769230769231
GBC Instant Index System for Binding Systems,Office Supplies,Binders,71.92800000000001,-12.432,19,0.48,5,-0.1728395061728395
Bevis Rectangular Conference Tables,Furniture,Tables,1007.262,-586.8395999999999,13,0.475,4,-0.5826086956521739
Round Ring Binders,Office Supplies,Binders,29.952,-0.9152000000000009,28,0.4666666666666666,6,-0.030555555555555582
Storex Flexible Poly Binders with Double Pockets,Office Supplies,Binders,10.824000000000002,-2.0064,9,0.4666666666666666,3,-0.18536585365853658
Large Capacity Hanging Post Binders,Office Supplies,Binders,276.945,-19.461000000000027,22,0.45999999999999996,5,-0.07027027027027037
GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,17965.068,-1878.166200000003,27,0.45,6,-0.10454545454545472
"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",Office Supplies,Binders,99.80000000000001,-0.6986000000000061,19,0.45,6,-0.00700000000000006
Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,Office Supplies,Appliances,299.20799999999997,-177.22320000000008,9,0.45,2,-0.5923076923076926
"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,102.619,-11.882200000000006,44,0.45,12,-0.1157894736842106
Texas Instrument TI-15 Fraction Calculator,Technology,Machines,41.90500000000001,-20.519000000000002,8,0.44999999999999996,2,-0.489655172413793
Okidata MB491 Multifunction Printer,Technology,Machines,2844.3,-434.12999999999977,9,0.44999999999999996,2,-0.15263157894736834
GBC ProClick Spines for 32-Hole Punch,Office Supplies,Binders,66.40899999999999,-13.281800000000008,12,0.44000000000000006,5,-0.20000000000000015
Pressboard Hanging Data Binders for Unburst Sheets,Office Supplies,Binders,112.668,-10.135200000000015,48,0.43999999999999995,10,-0.08995633187772939
"Fellowes Twister Kit, Gray/Clear, 3/pkg",Office Supplies,Binders,182.50799999999998,-3.216000000000003,42,0.43,10,-0.017621145374449358
GBC Personal VeloBind Strips,Office Supplies,Binders,156.93800000000002,-11.261200000000004,27,0.42857142857142855,7,-0.07175572519083971
Ibico Hi-Tech Manual Binding System,Office Supplies,Binders,5398.323,-304.9900000000006,34,0.4272727272727273,11,-0.05649717514124304
StarTech.com 10/100 VDSL2 Ethernet Extender Kit,Technology,Machines,2330.65,-785.762,13,0.425,4,-0.33714285714285713
O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,2740.197,-975.0988000000001,37,0.4214285714285714,7,-0.3558498896247241
"GBC Velobind Prepunched Cover Sets, Regency Series",Office Supplies,Binders,661.942,-9.245000000000005,33,0.41428571428571426,7,-0.01396648044692738
Fellowes Black Plastic Comb Bindings,Office Supplies,Binders,102.256,-4.415600000000001,34,0.4111111111111111,9,-0.043181818181818196
Sauder Barrister Bookcases,Furniture,Bookcases,754.7336,-294.7672,16,0.4066666666666667,3,-0.3905579399141631
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,Office Supplies,Appliances,289.456,-113.76720000000003,31,0.4000000000000001,6,-0.3930379746835444
Acco 6 Outlet Guardian Basic Surge Suppressor,Office Supplies,Appliances,38.272,-3.660800000000002,7,0.4,2,-0.09565217391304354
Kensington 6 Outlet SmartSocket Surge Protector,Office Supplies,Appliances,147.528,-36.882000000000026,6,0.4,2,-0.25000000000000017
Xerox WorkCentre 6505DN Laser Multifunction Printer,Technology,Machines,2519.958,-251.99579999999992,7,0.4,1,-0.09999999999999996
PNY Rapid USB Car Charger - Black,Technology,Phones,9.588,-2.0774,2,0.4,1,-0.21666666666666667
Belkin F9S820V06 8 Outlet Surge,Office Supplies,Appliances,266.33599999999996,-120.17600000000007,17,0.4,4,-0.4512195121951223
"Electrix Incandescent Magnifying Lamp, Black",Furniture,Furnishings,117.28,-16.492499999999993,5,0.4,2,-0.14062499999999994
"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",Furniture,Furnishings,97.81200000000001,-1.778399999999987,8,0.4,2,-0.01818181818181805
LG G2,Technology,Phones,1499.9699999999998,-374.99250000000006,5,0.4,1,-0.25000000000000006
Okidata C610n Printer,Technology,Machines,2011.9,-292.05000000000024,5,0.4,2,-0.14516129032258077
Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,16829.900999999998,-4589.973000000004,18,0.4,4,-0.272727272727273
"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,Binders,269.394,-2.2830000000000368,35,0.3888888888888889,9,-0.008474576271186578
"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",Office Supplies,Binders,137.808,-14.407199999999984,27,0.3833333333333333,6,-0.10454545454545443
Balt Split Level Computer Training Table,Furniture,Tables,1040.625,-357.97499999999997,12,0.38,5,-0.344
BPI Conference Tables,Furniture,Tables,2241.8675000000003,-795.9725000000003,26,0.37,5,-0.3550488599348535
Riverside Furniture Stanwyck Manor Table Series,Furniture,Tables,917.9200000000001,-415.93250000000006,5,0.3666666666666667,3,-0.45312500000000006
Bush Advantage Collection Racetrack Conference Table,Furniture,Tables,9544.725,-1934.3976,33,0.35000000000000003,7,-0.20266666666666666
Cisco IP Phone 7961G-GE VoIP phone,Technology,Phones,2252.4320000000002,-119.11899999999974,15,0.35000000000000003,4,-0.052884615384615266
"3D Systems Cube Printer, 2nd Generation, White",Technology,Machines,2339.982,-467.99639999999994,3,0.35,2,-0.19999999999999998
Panasonic KX MC6040 Color Laser Multifunction Printer,Technology,Machines,1619.82,-22.49750000000006,5,0.35,2,-0.013888888888888926
Dana Swing-Arm Lamps,Furniture,Furnishings,108.936,-11.213999999999999,15,0.34285714285714286,7,-0.10294117647058822
"Bevis Traditional Conference Table Top, Plinth Base",Furniture,Tables,2033.496,-456.70320000000004,9,0.3333333333333333,3,-0.22459016393442624
Clearsounds A400,Technology,Phones,488.32599999999996,-48.83259999999998,11,0.3333333333333333,3,-0.09999999999999996
Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,Office Supplies,Appliances,823.2520000000001,-17.03280000000002,16,0.3333333333333333,3,-0.020689655172413814
"Hon 30"" x 60"" Table with Locking Drawer",Furniture,Tables,1296.028,-177.35120000000003,6,0.3333333333333333,3,-0.13684210526315793
LG Exalt,Technology,Phones,1154.326,-212.14640000000009,12,0.3333333333333333,3,-0.18378378378378385
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",Furniture,Tables,4297.644,-611.5878000000002,11,0.3333333333333333,6,-0.14230769230769236
O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,2946.3668,-767.7435999999998,22,0.332,5,-0.26057298772169163
KI Conference Tables,Furniture,Tables,2140.878,-479.2163999999998,44,0.325,8,-0.22384105960264888
Hon Rectangular Conference Tables,Furniture,Tables,3481.515,-295.81500000000045,20,0.325,4,-0.08496732026143804
Chromcraft Rectangular Conference Tables,Furniture,Tables,4952.673000000001,-450.2430000000007,30,0.32222222222222224,9,-0.09090909090909104
"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",Furniture,Tables,1088.6399999999999,-104.83200000000001,16,0.32,5,-0.09629629629629631
