Product Name,Category,Sub-Category,total_sales,total_profit,total_quantity,avg_discount,total_orders,profit_margin
Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,22638.48,-1811.078400000002,6,0.5,1,-0.08000000000000008
HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,21870.576,3.979039320256561e-13,39,0.2,8,1.8193573503763965e-17
GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders,19024.5,760.9799999999998,48,0.5222222222222221,9,0.03999999999999999
GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,17965.068,-1878.166200000003,27,0.45,6,-0.10454545454545472
High Speed Automatic Electric Letter Opener,Office Supplies,Supplies,17030.311999999998,-262.00480000000084,11,0.06666666666666667,3,-0.015384615384615436
Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,16829.900999999998,-4589.973000000004,18,0.4,4,-0.272727272727273
Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,16656.199999999997,-1299.1835999999998,22,0.10000000000000002,6,-0.078
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,15610.965600000001,-669.5448000000002,24,0.23399999999999999,5,-0.04288939051918737
Bretford Rectangular Conference Table Tops,Furniture,Tables,12995.2915,-327.2330999999991,46,0.24583333333333335,12,-0.02518089725036173
Cubify CubeX 3D Printer Double Head Print,Technology,Machines,11099.963,-8879.970400000002,9,0.5333333333333333,3,-0.8000000000000002
DMI Eclipse Executive Suite Bookcases,Furniture,Bookcases,11046.609000000002,90.1763999999993,27,0.18333333333333335,6,0.008163265306122384
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables,9917.640000000001,-2876.1156000000005,27,0.28,5,-0.29000000000000004
Tennsco Double-Tier Lockers,Office Supplies,Storage,9630.856,429.78819999999996,47,0.10000000000000002,12,0.04462616822429906
Bush Advantage Collection Racetrack Conference Table,Furniture,Tables,9544.725,-1934.3976,33,0.35000000000000003,7,-0.20266666666666666
Tennsco Single-Tier Lockers,Office Supplies,Storage,9158.296,-825.7480000000002,28,0.07500000000000001,8,-0.09016393442622953
Chromcraft Round Conference Tables,Furniture,Tables,8209.059,-189.9761,61,0.2576923076923077,13,-0.023142250530785564
Cubify CubeX 3D Printer Triple Head Print,Technology,Machines,7999.98,-3839.990399999999,4,0.5,1,-0.4799999999999999
Hon 94000 Series Round Tables,Furniture,Tables,7404.5,-681.2139999999998,30,0.16,5,-0.09199999999999997
Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,7242.768,-532.7612999999999,29,0.2625,8,-0.0735576923076923
Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),Technology,Phones,7139.796,83.99760000000035,28,0.20000000000000004,6,0.01176470588235299
