Product Name,Category,Sub-Category,total_sales,total_profit,total_quantity,avg_discount,total_orders,profit_margin
Cubify CubeX 3D Printer Double Head Print,Technology,Machines,11099.963,-8879.970400000002,9,0.5333333333333333,3,-0.8000000000000002
Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,16829.900999999998,-4589.973000000004,18,0.4,4,-0.272727272727273
Cubify CubeX 3D Printer Triple Head Print,Technology,Machines,7999.98,-3839.990399999999,4,0.5,1,-0.4799999999999999
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables,9917.640000000001,-2876.1156000000005,27,0.28,5,-0.29000000000000004
Bush Advantage Collection Racetrack Conference Table,Furniture,Tables,9544.725,-1934.3976,33,0.35000000000000003,7,-0.20266666666666666
GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,17965.068,-1878.166200000003,27,0.45,6,-0.10454545454545472
Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,22638.48,-1811.078400000002,6,0.5,1,-0.08000000000000008
Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,16656.199999999997,-1299.1835999999998,22,0.10000000000000002,6,-0.078
Balt Solid Wood Round Tables,Furniture,Tables,6518.754,-1201.0581,19,0.2,4,-0.18424657534246575
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,Tables,1706.25,-1148.4375,15,0.48333333333333334,3,-0.6730769230769231
"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Furniture,Tables,4446.175,-1147.4000000000003,25,0.3,5,-0.2580645161290323
Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,Technology,Machines,1212.7050000000002,-1057.23,10,0.55,2,-0.8717948717948717
Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Furniture,Chairs,5282.424000000001,-989.0496000000009,24,0.21666666666666667,6,-0.18723404255319162
O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,2740.197,-975.0988000000001,37,0.4214285714285714,7,-0.3558498896247241
Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,Furniture,Tables,5634.9,-964.1940000000006,17,0.225,4,-0.17111111111111124
Zebra GK420t Direct Thermal/Thermal Transfer Printer,Technology,Machines,703.71,-938.28,6,0.7,1,-1.3333333333333333
3.6 Cubic Foot Counter Height Office Refrigerator,Office Supplies,Appliances,2946.2,-872.0751999999999,18,0.52,5,-0.296
"Bevis Oval Conference Table, Walnut",Furniture,Tables,6942.068,-856.014400000001,36,0.275,8,-0.12330827067669188
Tennsco Single-Tier Lockers,Office Supplies,Storage,9158.296,-825.7480000000002,28,0.07500000000000001,8,-0.09016393442622953
BPI Conference Tables,Furniture,Tables,2241.8675000000003,-795.9725000000003,26,0.37,5,-0.3550488599348535
